School,Teacher,Condition,Trt,Pre,Y
4,2,Waitlist,0,3.5,4.7182150805
4,3,Treatment,1,5,4.7182150805
4,4,Treatment,1,4,4.7182150805
4,6,Waitlist,0,3.25,4.2182150805
4,7,Waitlist,0,4.25,4.4682150805
4,8,Treatment,1,5,4.7182150805
4,10,Waitlist,0,4,3.2182150805
4,11,Waitlist,0,4.5,3.4682150805
4,12,Treatment,1,5,4.7182150805
4,15,Waitlist,0,4.25,4.7182150805
12,22,Waitlist,0,3.75,4.6348726994
12,23,Waitlist,0,3,4.6348726994
12,25,Treatment,1,4,5.6348726994
12,30,Treatment,1,3.5,4.6348726994
5,35,Waitlist,0,4.25,4.2362732068
5,36,Treatment,1,4,3.7362732068
5,38,Waitlist,0,5,4.9862732068
5,39,Treatment,1,4.25,4.2362732068
5,41,Waitlist,0,4.25,4.2362732068
5,42,Treatment,1,4.5,4.7362732068
5,43,Waitlist,0,4,4.2362732068
5,45,Treatment,1,4.5,3.9862732068
6,47,Waitlist,0,3.25,3.0957839234
6,49,Treatment,1,4.5,3.8457839234
6,51,Treatment,1,4.75,4.3457839234
6,54,Waitlist,0,4.25,4.3457839234
6,56,Treatment,1,3.75,3.3457839234
6,57,Waitlist,0,5,4.3457839234
6,59,Waitlist,0,3.5,3.5957839234
8,61,Waitlist,0,4,5.1559575889
8,67,Waitlist,0,4.5,6.1559575889
8,69,Treatment,1,4,4.4059575889
10,74,Waitlist,0,4.5,4.3204777944
10,75,Treatment,1,5,4.5704777944
10,79,Treatment,1,3.5,4.5704777944
10,80,Waitlist,0,5,4.8204777944
10,81,Treatment,1,4.5,3.5704777944
10,83,Treatment,1,4,4.3204777944
10,85,Waitlist,0,5,4.8204777944
10,91,Waitlist,0,5,4.3204777944
10,94,Treatment,1,3.5,3.5704777944
10,95,Treatment,1,4.5,4.3204777944
10,96,Waitlist,0,3.5,4.0704777944
9,100,Waitlist,0,4.25,4.1003543346
9,101,Waitlist,0,4.75,4.1003543346
9,102,Treatment,1,4,3.3503543346
9,104,Waitlist,0,4,3.1003543346
9,106,Treatment,1,3.75,3.8503543346
9,107,Treatment,1,4.5,3.8503543346
9,114,Waitlist,0,3.75,3.3503543346
6,158,Treatment,1,3.75,3.3457839234
10,159,Waitlist,0,4.5,4.5704777944
9,163,Treatment,1,5,4.3503543346
4,164,Treatment,1,4.25,4.4682150805
9,165,Treatment,1,4.25,4.3503543346
12,205,Treatment,1,4.25,5.6348726994
12,206,Waitlist,0,4.25,5.1348726994
8,210,Treatment,1,4.25,6.1559575889
8,212,Treatment,1,4.25,5.4059575889
10,216,Treatment,1,4.25,4.5704777944
10,219,Waitlist,0,4.25,4.0704777944
7,302,Waitlist,0,3.75,5.1015602007
7,304,Waitlist,0,4.5,5.8515602007
7,306,Waitlist,0,3.75,4.8515602007
7,307,Treatment,1,5,5.8515602007
7,308,Treatment,1,4.25,4.6015602007
7,309,Treatment,1,3.75,4.8515602007
7,310,Treatment,1,5,5.1015602007
7,311,Treatment,1,5,5.8515602007
7,313,Waitlist,0,4.75,5.6015602007
7,314,Waitlist,0,4,5.6015602007
7,315,Waitlist,0,4,5.1015602007
11,322,Waitlist,0,4.25,3.6792379009
11,323,Treatment,1,4,3.4292379009
11,324,Waitlist,0,5,4.1792379009
11,327,Treatment,1,4.25,3.9292379009
11,328,Waitlist,0,4.75,3.6792379009
11,329,Waitlist,0,5,4.4292379009
11,330,Treatment,1,3.5,3.4292379009
11,331,Waitlist,0,4.25,4.4292379009
11,336,Treatment,1,3.75,2.6792379009
7,338,Treatment,1,4,4.6015602007
2,340,Waitlist,0,5,4.3187052865
2,341,Treatment,1,3,2.8187052865
2,342,Waitlist,0,4,4.3187052865
2,343,Treatment,1,5,4.8187052865
2,344,Treatment,1,4.5,4.0687052865
2,345,Waitlist,0,4,4.3187052865
2,349,Treatment,1,4.75,5.0687052865
2,350,Treatment,1,4.25,4.0687052865
2,353,Waitlist,0,3.75,3.8187052865
2,354,Waitlist,0,4.25,4.8187052865
2,357,Treatment,1,4.5,5.0687052865
2,358,Waitlist,0,4,4.0687052865
2,359,Treatment,1,3.75,5.0687052865
2,361a,Waitlist,0,3.5,3.8187052865
2,361b,Waitlist,0,4.75,4.8187052865
2,362a,Treatment,1,3.5,5.0687052865
2,362b,Treatment,1,3.5,5.0687052865
2,363a,Treatment,1,4,4.3187052865
2,363b,Treatment,1,4,3.8187052865
13,364a,Treatment,1,3,3.7684962788
13,366,Waitlist,0,5,4.0184962788
13,369,Treatment,1,4.5,4.0184962788
13,370,Waitlist,0,5,3.7684962788
13,371,Waitlist,0,5,4.7684962788
13,372,Treatment,1,5,4.7684962788
13,374,Waitlist,0,4,3.2684962788
13,375,Waitlist,0,3.75,4.2684962788
13,376,Waitlist,0,5,3.7684962788
13,378,Treatment,1,3.75,4.2684962788
13,379,Waitlist,0,5,4.7684962788
1,381,Treatment,1,3.75,4.2060625344
1,382,Waitlist,0,5,4.9560625344
1,384,Treatment,1,4.5,4.4560625344
1,385,Treatment,1,4.25,4.9560625344
1,386,Treatment,1,5,4.9560625344
1,390,Waitlist,0,5,5.2060625344
1,391,Treatment,1,5,5.2060625344
1,392,Waitlist,0,4.25,4.9560625344
1,393,Waitlist,0,4.25,5.2060625344
1,394,Waitlist,0,4.75,5.2060625344
1,395,Treatment,1,5,5.2060625344
1,396,Waitlist,0,5,4.9560625344
1,397,Treatment,1,3,4.9560625344
13,399,Treatment,1,3.25,3.2684962788
13,401,Waitlist,0,4,3.7684962788
13,404,Treatment,1,4.25,3.2684962788
13,405,Treatment,1,4.25,3.5184962788
1,407,Treatment,1,5,5.2060625344
1,409,Waitlist,0,5,5.2060625344
1,410,Waitlist,0,5,4.4560625344
3,416,Waitlist,0,4,1.5214712621
3,417,Treatment,1,4.25,1.7714712621
3,418,Treatment,1,4,2.5214712621
3,419,Treatment,1,3.25,1.0214712621
3,421,Waitlist,0,5,2.7714712621
3,422,Treatment,1,4.75,2.5214712621
3,425,Treatment,1,4.5,2.0214712621
3,426,Treatment,1,4.25,2.7714712621
3,427a,Waitlist,0,4.5,1.2714712621
3,427b,Waitlist,0,4,2.7714712621
3,428,Waitlist,0,5,2.7714712621
3,429,Waitlist,0,4.5,2.7714712621
2,430,Treatment,1,4,4.5687052865
