Stress,Social,Drinks
28,8.5,0
27,6,0
26,7.5,0
13,7.5,0
29,9.5,0
17,7.5,11
14,10,0
17,8.5,11
14,4,0
23,6,0
13,5,8
25,8,3
20,7,0
16,3,0
25,9.5,0
37,3,0
18,6,0
19,7.5,8
16,6,0
36.5,10,3
17,9.5,0
14,9.5,10
30,6,0
14,9,11
12,9.5,3
47,6.5,42
28,6,0
25,4,0
15,6.5,6
16,5,0
14,5,0
22,3,0
19,8,0
25,6,4
16,4,7
17,5,6
15,3,0
24,6,0
29,4,0
14,7,5
15,3,4
27,10,9
15,9.5,5
20,3,0
15,5,0
24,7,0
25,3,5
16,4,6
20,7.5,0
17,4,0
33,6.5,0
19,8.5,3
21,9.5,3
24,3,0
27,5,2
41,3,0
25.5,4,0
20,4,0
42,4,0
20,5,0
27,5,0
41,9,4
26,6,3
35,3,2
35,5,0
20,5,2
14,6,0
24.5,10,9
12,4,0
18,10,0
16,4,0
16,4,5
21,3,0
29,9.5,2
28,4,0
33,6,0
19,5,0
33,8.5,0
51,5,0
15,6,3
13,7,0
16,6,1
47,4,0
19,9.5,3
19,9.5,3
15,6,2
26,8.5,1
25,5,0
20,8.5,4
20,8.5,0
26,8.5,0
31,7.5,0
45,8.5,24
40,6,0
18,3,0
57,3,12
10,7,0
37,5,0
24,7.5,14
25,5,0
18,9,0
15,6.5,0
27,7,3
15,5,3
17,6.5,10