city,inventory_mean.2000,inventory_mean.2001,inventory_mean.2002,inventory_mean.2003,inventory_mean.2004,inventory_mean.2005,inventory_mean.2006,inventory_mean.2007,inventory_mean.2008,inventory_mean.2009,inventory_mean.2010,inventory_mean.2011,inventory_mean.2012,inventory_mean.2013,inventory_mean.2014,inventory_mean.2015,inventory_sd.2000,inventory_sd.2001,inventory_sd.2002,inventory_sd.2003,inventory_sd.2004,inventory_sd.2005,inventory_sd.2006,inventory_sd.2007,inventory_sd.2008,inventory_sd.2009,inventory_sd.2010,inventory_sd.2011,inventory_sd.2012,inventory_sd.2013,inventory_sd.2014,inventory_sd.2015,listings_mean.2000,listings_mean.2001,listings_mean.2002,listings_mean.2003,listings_mean.2004,listings_mean.2005,listings_mean.2006,listings_mean.2007,listings_mean.2008,listings_mean.2009,listings_mean.2010,listings_mean.2011,listings_mean.2012,listings_mean.2013,listings_mean.2014,listings_mean.2015,listings_sd.2000,listings_sd.2001,listings_sd.2002,listings_sd.2003,listings_sd.2004,listings_sd.2005,listings_sd.2006,listings_sd.2007,listings_sd.2008,listings_sd.2009,listings_sd.2010,listings_sd.2011,listings_sd.2012,listings_sd.2013,listings_sd.2014,listings_sd.2015,median_mean.2000,median_mean.2001,median_mean.2002,median_mean.2003,median_mean.2004,median_mean.2005,median_mean.2006,median_mean.2007,median_mean.2008,median_mean.2009,median_mean.2010,median_mean.2011,median_mean.2012,median_mean.2013,median_mean.2014,median_mean.2015,median_sd.2000,median_sd.2001,median_sd.2002,median_sd.2003,median_sd.2004,median_sd.2005,median_sd.2006,median_sd.2007,median_sd.2008,median_sd.2009,median_sd.2010,median_sd.2011,median_sd.2012,median_sd.2013,median_sd.2014,median_sd.2015,month_mean.2000,month_mean.2001,month_mean.2002,month_mean.2003,month_mean.2004,month_mean.2005,month_mean.2006,month_mean.2007,month_mean.2008,month_mean.2009,month_mean.2010,month_mean.2011,month_mean.2012,month_mean.2013,month_mean.2014,month_mean.2015,month_sd.2000,month_sd.2001,month_sd.2002,month_sd.2003,month_sd.2004,month_sd.2005,month_sd.2006,month_sd.2007,month_sd.2008,month_sd.2009,month_sd.2010,month_sd.2011,month_sd.2012,month_sd.2013,month_sd.2014,month_sd.2015,sales_mean.2000,sales_mean.2001,sales_mean.2002,sales_mean.2003,sales_mean.2004,sales_mean.2005,sales_mean.2006,sales_mean.2007,sales_mean.2008,sales_mean.2009,sales_mean.2010,sales_mean.2011,sales_mean.2012,sales_mean.2013,sales_mean.2014,sales_mean.2015,sales_sd.2000,sales_sd.2001,sales_sd.2002,sales_sd.2003,sales_sd.2004,sales_sd.2005,sales_sd.2006,sales_sd.2007,sales_sd.2008,sales_sd.2009,sales_sd.2010,sales_sd.2011,sales_sd.2012,sales_sd.2013,sales_sd.2014,sales_sd.2015,volume_mean.2000,volume_mean.2001,volume_mean.2002,volume_mean.2003,volume_mean.2004,volume_mean.2005,volume_mean.2006,volume_mean.2007,volume_mean.2008,volume_mean.2009,volume_mean.2010,volume_mean.2011,volume_mean.2012,volume_mean.2013,volume_mean.2014,volume_mean.2015,volume_sd.2000,volume_sd.2001,volume_sd.2002,volume_sd.2003,volume_sd.2004,volume_sd.2005,volume_sd.2006,volume_sd.2007,volume_sd.2008,volume_sd.2009,volume_sd.2010,volume_sd.2011,volume_sd.2012,volume_sd.2013,volume_sd.2014,volume_sd.2015
Collin County,4.075,4.5,5.558333333,6.391666667,5.741666667,5.1,4.85,5.841666667,5.775,5.258333333,5.416666667,4.975,3.233333333,1.941666667,1.658333333,1.571428571,0.160255478,0.204494943,0.645907865,0.543487615,0.416606056,0.64498062,0.317661913,0.501739399,0.43719145,0.640253264,0.509604719,0.774743359,0.531436019,0.235326981,0.192865159,0.269037084,3156.166667,3978.833333,5035.166667,5956.833333,5952.5,5913.272727,6371.166667,7400.333333,6450.25,5014.916667,5154.166667,4423.666667,3270.333333,2422.666667,2210,2109.857143,140.1588925,268.3104827,520.6907708,355.0515541,367.9640546,506.1584912,483.4944455,648.4653679,685.9590665,611.8228291,508.8283928,582.544783,420.2731435,243.7410449,235.5508052,373.0350424,163691.6667,171500,176358.3333,175633.3333,178083.3333,183083.3333,192041.6667,199841.6667,202516.6667,198933.3333,207466.6667,207708.3333,215300,239191.6667,261633.3333,289400,5811.033132,3341.202832,2978.85223,3724.448302,4831.30574,6485.765299,6365.169188,8046.620785,6599.701554,7657.834174,11680.31237,7494.781012,7430.037318,9683.487194,10656.6525,11980.53978,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,833.3333333,909.9166667,901.1666667,984.0833333,1080,1267.333333,1316.25,1198.25,1029.166667,966.75,891.9166667,930.3333333,1113.666667,1346.416667,1340.333333,1369.285714,172.7264434,199.2150315,126.9042827,199.515075,226.4271908,282.7531314,295.039019,273.9877652,251.0493734,211.4409976,236.0641124,212.8833797,244.9888062,348.6536334,322.9934796,410.261589,166247951.4,186754686.6,192677555.6,211277102.3,237394117.1,289919536,314771403.3,297289997.8,257833737.2,230528124.2,219725120.3,231818724.4,284933515.3,376860863.8,407527502.5,455259396,33863506.34,44144948.51,31381149.77,45002833.57,53722456.71,69613243.57,73909734.21,75719218.19,68277870.12,53663560.58,56373618.98,56863163.92,68185385.8,106430102.1,107518553,146873925.7
Corpus Christi,8.958333333,7.608333333,4.936363636,4.954545455,4.625,4.966666667,6.158333333,7.416666667,8.983333333,10.23333333,10.31818182,9.545454545,7.05,5.308333333,4.483333333,4.95,0.8691253,1.326278685,0.265603943,0.143969694,0.213733054,0.671948771,0.5567084,0.823333947,0.549103953,0.699783516,0.56181524,0.868750409,0.442102415,0.320392751,0.478317759,0.250998008,2489.916667,2228.916667,1483.727273,1653.636364,1740.583333,1987.416667,2622.75,3009.416667,3071,2947.75,2988.181818,2684.090909,2210.583333,1933.833333,1732.25,1947.166667,189.5878105,397.4005212,66.52832616,74.78137833,48.86243832,261.2704827,271.0837257,258.8844805,95.29380405,92.84309834,182.4482492,218.7982882,83.89220175,76.63826879,193.7947016,112.0382375,85572.72727,89008.33333,93358.33333,101666.6667,112633.3333,124758.3333,130100,136266.6667,138509.0909,134416.6667,135741.6667,136083.3333,141825,150858.3333,168075,176866.6667,5188.46623,3059.25075,3591.266764,5213.153527,7487.484507,7138.558338,3694.221532,6814.200858,6609.607333,6757.19594,7410.613805,5751.495194,7297.08846,8873.500727,6033.561439,9672.572908,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,286.75,293.0833333,314.1666667,349.8333333,395.4166667,407.8333333,432.6666667,375.8333333,314.4166667,287,287.0833333,283,338.1666667,382.4166667,393.4166667,384.5,61.43159537,56.6976965,45.77977587,57.60655476,66.91304851,79.58624063,77.65346487,67.37794802,61.10863402,47.83114238,60.85968711,59.517759,63.10717195,70.87820326,73.34905135,92.61695309,29561284.25,31530833.33,34814166.67,42232916.67,52215000,60082500,66320000,60899079.58,51225829,44630127.25,43733234.75,44581669,57451142.92,69085443.92,77539440.17,77525185.67,7070930.556,6310530.821,5530811.149,8401669.33,10379478.44,13528408.91,13021789.78,12815317.49,11634473.85,8354776.874,10670329.8,10401677.81,13592944.85,14806698.26,15600092.54,20794367.67
Dallas,3.791666667,4.566666667,5.458333333,6.458333333,6.266666667,5.772727273,5.575,6.025,6.241666667,6.258333333,6.608333333,6.358333333,4.225,2.716666667,2.291666667,2,0.131137217,0.365148372,0.510718448,0.367938565,0.384550111,0.38753299,0.280016233,0.404800737,0.281096338,0.490747729,0.501739399,0.811797482,0.601702131,0.244329633,0.242930343,0.238047614,14223.75,17594.91667,21451.33333,25723.08333,27196.5,27448.54545,29145.25,31495.91667,28530.66667,24213.91667,25001.83333,21891.08333,16295.25,12593,11370,10017.42857,628.0761571,1467.25089,1879.471557,1242.679909,1527.269548,1379.928938,1716.357037,2106.364833,1944.925721,2136.517492,1954.427739,2411.023414,1684.874807,871.8302587,1089.528088,1284.127961,133758.3333,140991.6667,144758.3333,147941.6667,149091.6667,153983.3333,156441.6667,158891.6667,154666.6667,153816.6667,157908.3333,157758.3333,169450,188566.6667,204941.6667,227271.4286,4831.235177,4269.438612,2140.712852,4048.896221,4948.362141,5606.949152,5132.863516,6100.589887,7344.30309,8356.688484,7694.44408,5638.416659,8362.959459,12388.50885,10701.27081,14420.66969,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,3787.166667,3916,3933.25,4106.5,4542.833333,4998.333333,5352.166667,4974.583333,4237.333333,3824.25,3531.916667,3554.666667,4200.916667,4976.166667,5012.833333,5247.857143,708.547661,756.6250422,556.1144625,763.7578745,807.360214,981.9476318,1031.757709,1019.593721,843.6083035,697.0386875,876.6219729,716.9563615,820.8187108,1088.310436,1009.576314,1435.590521,656458536.6,696068895.3,719971263,773935862.3,881866790.8,1011143617,1110119303,1077917198,894538828.6,763918417.5,750951629.5,755937543.5,936712972,1227032727,1322854939,1504778937,129356825.5,153674937.1,118635266.8,156514778.1,181159893.2,219891373.3,249386020.6,259221467.9,211664317.4,168314575.9,200212358.8,174503398.9,214865865.7,332122474.1,302914163.9,469300779.9
Denton County,4.391666667,5.033333333,5.566666667,6.516666667,6.466666667,5.445454545,4.75,5.258333333,5.516666667,5.716666667,5.991666667,6,3.833333333,2.216666667,1.933333333,1.671428571,0.188092498,0.331205329,0.396194014,0.329830076,0.564613035,0.492673597,0.19306146,0.380091695,0.356328075,0.537389876,0.49443877,0.879049073,0.76673254,0.220879784,0.249848439,0.314718317,2160.333333,2617.5,3041.583333,3570.75,3879.416667,3711.454545,3506.916667,3762.083333,3426.5,3026.083333,3212,2892.5,2166.666667,1610.5,1522.333333,1368.285714,74.37048942,170.0574769,201.8737041,176.8004139,242.1612755,233.7697002,176.0637583,292.2951368,277.6909662,268.7511381,274.2473999,338.9680865,306.5367643,141.1527219,190.9427964,268.5204612,143958.3333,150341.6667,152066.6667,153191.6667,155208.3333,157950,161616.6667,165333.3333,159583.3333,158908.3333,162966.6667,159275,170266.6667,184183.3333,203525,228142.8571,6880.86389,4844.764434,2685.426438,5020.586408,4436.513441,4844.02162,5225.259164,6426.130369,5351.267196,5685.940929,6279.162268,4113.862375,8222.290472,9033.053781,9625.734919,10591.32619,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,512.4166667,538.3333333,544.4166667,561.9166667,645.8333333,715.4166667,743.9166667,677.3333333,573.5833333,534.3333333,496.0833333,503.4166667,640.5833333,785,810.5,858.2857143,117.7898424,112.3625086,82.6179139,119.0183014,132.2654585,148.6964317,159.0039784,169.3282629,140.6035421,127.7087121,153.556894,120.498554,151.3685799,183.2519379,196.9321526,261.8248233,85908969.67,94048454.33,96400412.5,101082430.5,119586179.7,136311263,145975549.3,140732884.8,112488161.2,102522287.4,98015124.58,99753288.42,134317536.4,174323716,195884270.4,226743778.6,22187569.2,22247020.03,16505929.87,23514790.71,27843199.82,30705100.65,35043292.99,40094385.54,29986836.65,27296216.72,29953090.54,25705556.85,36049246.78,48108166.29,52324024.41,74320409.78
El Paso,6.245454545,7.658333333,7.183333333,6.575,6.06,NA,4.342857143,6.075,11.36666667,9.483333333,7.009090909,7.225,7.383333333,7.608333333,8.091666667,7.6,0.654772688,0.768065259,0.351188458,0.404800737,0.167332005,NA,0.359894164,1.860168614,1.473606172,1.316906384,0.270016834,0.497493719,0.318614425,0.253908836,0.296826651,0.173205081,2662.363636,3275.166667,3145.333333,3152.75,3213.8,NA,2376.857143,3462.083333,4827,3898.083333,3291.272727,3115.5,3212.75,3679.833333,4046.666667,4025.428571,259.373581,339.7755498,124.4188917,129.0779363,119.6461449,NA,323.4503716,935.8462829,316.8917223,417.5871076,95.42441083,119.0213885,126.802011,174.6543773,127.5099521,97.75284675,80641.66667,86825,88833.33333,92416.66667,93916.66667,109883.3333,126666.6667,131858.3333,134058.3333,131116.6667,133216.6667,133933.3333,138200,141041.6667,140525,141614.2857,2428.040112,4807.593426,3547.683837,4355.317196,4379.255506,7071.689181,6051.496184,4898.693394,4407.732531,2994.186286,3963.20195,3435.99485,5806.266208,3884.107089,4860.251583,5726.380058,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,425.75,421.4166667,452.8333333,519.9166667,497,446,580.4166667,518.3333333,398,447.5,462,417,465.4166667,483.8333333,515.4166667,570.5714286,68.74475187,54.0647059,64.11613516,85.60634889,90.40213191,98.4525728,101.6549049,100.840408,69.18223629,78.97928382,119.0324631,64.59805795,72.0005787,77.50053763,78.65050232,126.083117,41815833.33,44353750,48882916.67,58349583.33,57839166.67,56778750,87815416.67,81024166.67,63866250,68288117.58,70295522.33,66517656.5,72845021.67,76928278.17,80827257,91568609.43,6525022.408,6952707.166,6856745.006,10646428.65,12746328.68,14081496.42,17524752.42,16090877.69,12135666.09,11277181.8,17837448.64,9830464.06,12923535.93,14369631.04,14453011.47,22358936.66
Fort Bend,4.3,4.554545455,4.291666667,5.325,5.516666667,5.05,4.325,4.775,5.35,4.7,5.7,5.941666667,4.125,2.341666667,2.191666667,2.657142857,0.319089614,0.375136339,0.246644143,0.453521574,0.351188458,0.524837637,0.191287504,0.338781238,0.3,0.170560573,0.660578259,0.630235646,0.753325959,0.271220586,0.223437334,0.315473944,2554.166667,2834,2852.916667,3561.25,4053.166667,4057.666667,3838.583333,4430.916667,4500.666667,3514.75,4283.5,4272.666667,3410.666667,2389.083333,2342.333333,2818.285714,219.5200688,202.016336,178.0390449,296.2158688,287.1017664,344.0489747,223.1006533,330.1017635,327.4455773,135.3803564,457.7548967,335.3349298,435.376187,168.7243359,203.6424377,345.7488078,133308.3333,142916.6667,150975,153975,153816.6667,161725,170016.6667,175950,181900,187625,197866.6667,197558.3333,204400,231441.6667,260108.3333,272400,5943.133293,5308.283978,4117.175775,4925.098061,5528.740335,6477.110046,5501.707724,8548.099204,7037.303202,13358.90068,8584.905711,9651.703414,10176.53272,17937.43968,14821.32728,10890.36271,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,604.5,646.0833333,668.5,692.5833333,769.5,852.1666667,917.9166667,902.0833333,784.9166667,759.4166667,708.5833333,758.3333333,920.8333333,1089,1069.583333,1051.428571,131.9032014,143.8069782,114.3650455,142.3404742,143.8145902,195.6257249,181.2704952,188.8286661,191.7633287,153.044532,165.6197498,157.4203021,214.5760443,272.3159929,215.380618,266.1489916,97620564.58,109737920.3,120230329.1,126242906.3,142577139.1,165216037,189504885,193407570.8,172371702,169809424.8,163731818,175461260.8,220014664.3,293449916.3,318579342.4,323348227.9,23995369.01,26631414.21,24408254.8,30185903.44,30222258.18,42303834.12,42710005.08,47738367.03,48502546.79,43618801.78,40674195.35,42495539.15,58586765.16,87282728.58,76660403.77,91906020.12
Fort Worth,4.408333333,4.8,5.15,6.166666667,6.325,6.418181818,6.25,6.208333333,5.941666667,6.408333333,6.833333333,6.558333333,4.883333333,3.566666667,2.708333333,2.128571429,0.227469612,0.266287609,0.274689908,0.628610782,0.200567377,0.31246818,0.243086217,0.274551977,0.188092498,0.231431644,0.382178762,0.658453192,0.401889477,0.283912065,0.257464325,0.138013112,2321.666667,2651.416667,3017.583333,3853.916667,4409,5156.818182,5915.416667,6194.833333,5275.25,4655.25,4950.916667,4351.833333,3504.25,2991.666667,2553.5,2119.571429,137.0761788,171.2862879,207.2593712,447.4805142,196.3767252,175.8037646,375.4600713,312.666489,358.8264014,163.5671255,305.2231548,400.1794673,195.9457833,153.2711995,205.298231,174.3194932,83733.33333,90841.66667,94858.33333,98583.33333,101341.6667,112591.6667,117375,118291.6667,116358.3333,112908.3333,114033.3333,110066.6667,118550,131350,141941.6667,154671.4286,4231.770172,6368.738755,3202.969739,4150.538483,5013.882243,6331.229714,2273.613464,4148.484572,4181.00865,4332.427061,5360.009046,5362.043934,4949.104602,6777.435825,8469.459394,6497.875111,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,531.6666667,565.0833333,611.4166667,646.4166667,742.25,870.0833333,998.0833333,961,813.4166667,713.1666667,686.5,677,756.8333333,907.3333333,977.3333333,1042.857143,91.21635951,89.40150328,83.02076228,100.522687,113.0809244,165.3725592,166.0960611,155.9813509,163.6517691,126.6439772,150.3719631,130.4885923,134.9625088,151.3967295,184.0461075,262.6692652,56040191.17,62326866.67,71008938.92,76901780.42,91691828.67,116423272.7,137188601.3,137089952.7,116370936.3,98950582.17,98635710.17,95727708.83,114212540,149042602.8,173058640,197785038.7,11093528.55,12101280.36,11628380.58,13645260.61,17359978.2,25013846.64,25392895.35,26554196.21,29138867.18,20274967.32,23349601.35,22195941.07,24961689,30398858.03,40357688.44,55155559.75
Galveston,7.075,6.533333333,NA,9.288888889,8.24,7.014285714,11.85833333,17.425,17.15714286,17.79166667,18.75833333,14.425,11.84166667,9.85,7.8,6.616666667,0.739932429,0.321455025,NA,0.903388682,0.934760813,0.705758626,2.726455686,2.080264406,1.492042384,3.104676336,2.542889671,0.96023198,1.474300039,0.630295746,1.193162338,0.44907312,505.4166667,467.6666667,NA,669.1111111,702.3,706.2857143,1206,1663.25,1584.714286,1124.083333,1242.833333,1077,930.1666667,828.75,725.5,626.5,48.57881756,21.73323108,NA,48.09741273,54.19112268,61.96696509,240.7763957,179.7321871,114.4169485,110.7933854,140.4200409,68.3400588,91.41696017,42.29576596,84.71503033,26.44049924,101266.6667,124133.3333,NA,121320,136316.6667,159408.3333,172208.3333,175758.3333,171983.3333,124683.3333,164025,167891.6667,163833.3333,186866.6667,199500,200857.1429,8313.880325,9696.562965,NA,13263.21563,12073.54985,18900.57519,8284.976363,11529.76057,33373.12019,27577.38973,17252.77975,16728.11777,18973.05905,19109.12839,19992.58954,9416.095642,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,72,62.08333333,74.91666667,75.45454545,94.16666667,107.8333333,96.25,96.41666667,74.83333333,62.91666667,72.5,75.75,81.41666667,85.25,99.41666667,95,19.28258753,10.0041658,24.07736898,21.06828724,21.87914463,38.6895178,29.82410556,25.26750818,39.5171616,16.12709935,19.31320792,17.25806794,23.03143438,24.55466999,28.17948426,33.55095627,9372916.667,8791223.333,10808200.17,11648216,16355000,21690000,21224166.67,21556666.67,17645416.67,10683450,15706411.75,16140480.83,17109965.5,20544623.08,25096425.25,23833009.86,2685305.517,1831721.908,4259144.629,3572006.054,4313612.175,8231498.262,7423391.112,5419911.662,10702682.85,4105943.128,4992877.54,3642560.653,5314208.349,6588766.047,8076895.528,7791419.781
Garland,1.933333333,2.758333333,3.825,5.4,5.5,5.436363636,6.008333333,6.133333333,5.608333333,4.908333333,5.641666667,5.616666667,3.316666667,1.991666667,1.641666667,1.071428571,0.161432977,0.475697255,0.615149649,0.25584086,0.376587549,0.261811869,0.375277675,0.377391365,0.284312035,0.367938565,0.62879153,0.855817879,0.458918359,0.150504203,0.223437334,0.27516229,464.0833333,638.4166667,888.25,1208,1264.583333,1235.181818,1360.166667,1360.333333,1052.083333,775.5,888.3333333,752.8333333,485,323.5,271.5,188.8571429,31.50312635,110.6998056,130.6202859,54.20332093,93.01853025,54.55422657,80.66860754,109.2572721,93.93078528,71.6931593,84.91314636,111.5093419,50.84021315,20.14718568,30.87953132,44.96082951,92175,103083.3333,108825,110616.6667,109983.3333,110608.3333,110483.3333,107225,101258.3333,102558.3333,95750,92041.66667,98675,115883.3333,129341.6667,143514.2857,3553.775201,4035.937051,3183.80133,2453.507076,1766.781014,3868.863665,2758.073548,4747.080442,2992.553891,5344.233653,7556.514348,6928.394584,8155.101582,7627.44248,8329.624932,7223.671405,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,236.3333333,233.5833333,228,225.0833333,230.3333333,224.5,231.25,205.8333333,168.6666667,159.4166667,143.0833333,137.1666667,154.3333333,164.5,174.6666667,170.2857143,48.15568188,40.34500833,32.47096605,41.52208248,41.41438778,43.70458682,41.82023216,46.67456643,24.07312093,23.3762052,41.25851611,28.53971183,28.71595481,27.24468255,34.14496724,40.72965458,23991242.58,26190948,27119656,26980342.92,27364183.33,27211023.08,28666942.67,25158313.92,19598443.33,18457779.92,16415211.08,14793025.67,17542052.25,21665846.92,25749167,27064247.14,5469434.287,5052965.245,4376332.511,5158026.621,4996442.928,5819547.932,5814984.103,6484451.952,3558969.46,3317699.26,5649488.8,3114628.533,3709619.516,4861778.394,6262020.695,7020591.329
Harlingen,29.45454545,34.66666667,35.875,NA,8.057142857,9.366666667,10.35,14.9,18.54285714,26.96666667,26.44,23.23636364,22.525,23.57272727,21.5,19.25714286,3.876948191,2.528339376,1.554295124,NA,0.568205194,0.472581563,0.070710678,6.929646456,7.336633457,2.814034093,0.836925591,5.838882209,1.33561358,0.882146143,1.399350499,0.423702501,730.5454545,829.5555556,1102.5,548.4285714,523.4285714,631.6666667,844.6666667,1298,1738.571429,2041.083333,2002.6,1620.818182,1635.5,1606.272727,1605.083333,1651.857143,80.26501559,67.61122523,84.36626498,21.93062655,38.45714993,36.47373484,1.527525232,709.9352083,682.9028377,97.53923065,70.10500061,416.3072947,53.69696115,48.25783026,57.31485343,55.10725473,82466.66667,74233.33333,72360,82771.42857,85150,77840,91500,88633.33333,86833.33333,85775,83725,89516.66667,92466.66667,90466.66667,102408.3333,106185.7143,10067.25866,13757.36167,8082.264534,5911.490022,9091.404532,7404.593169,8698.7068,10758.02731,11224.59421,5521.219398,11477.33933,17208.92122,11381.27117,8922.42663,7652.26744,12112.86211,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,25.66666667,24.66666667,37.8,62.85714286,65.41666667,69.4,81.33333333,94.91666667,90.33333333,73.5,72.66666667,68.41666667,73.08333333,67.16666667,83.08333333,93.14285714,9.227757862,7.599342077,10.13410085,7.057586259,14.8902551,12.73970172,12.32882801,17.61950538,20.4064755,11.77439441,9.69848473,15.47113637,17.98715872,12.26104944,12.33220716,19.38580728,2642500,2172777.778,3282000,6145000,6823750,6463000,9169444.444,10687916.67,9820416.667,7636735.417,7871568.083,8056107.667,8683333.583,7883734.25,10447423.5,11642245.29,929808.1425,777009.9384,1017973.477,784771.729,1693411.196,1520187.488,1655178.322,2230460.061,2482997.143,1515827.219,1180707.85,2182503.82,2306595.806,1451491.002,1905574.798,3505588.532
Houston,4.233333333,4.763636364,5.241666667,6.158333333,6.325,6.125,5.533333333,6.083333333,6.475,6.375,7.325,7.291666667,5.158333333,3.275,2.741666667,2.971428571,0.238683257,0.206265495,0.446111143,0.296826651,0.24908925,0.359608373,0.155699789,0.413044865,0.292714568,0.292714568,0.600189364,0.693421469,0.690794448,0.280016233,0.162135372,0.269037084,18468,21000.18182,24298.08333,29797.5,33839.41667,35573,35795,40623.75,38758.16667,31736.58333,36631.33333,34545.25,27017,20622.75,18685.83333,20590.28571,1104.407204,1025.296427,2262.789568,1683.560594,1815.137483,1674.570881,1669.283406,2590.200979,3147.812973,690.8943424,2918.734014,2662.534545,2469.954876,1054.337028,1012.495103,1953.117398,113283.3333,121008.3333,129291.6667,132525,133783.3333,141091.6667,147841.6667,151225,150600,150558.3333,152116.6667,152858.3333,162066.6667,178616.6667,195591.6667,208471.4286,4687.669189,5374.08907,4399.681462,4533.937683,4352.185101,4766.446806,5488.079368,4986.914696,7955.101279,9455.874397,4727.835048,6558.472429,9646.981001,12253.74402,10124.98784,12461.23513,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,4,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,3.605551275,2.160246899,4371.583333,4488,4713.583333,5061,5581.583333,6066.666667,6749.5,6472.333333,5430.75,5008.833333,4733.916667,4904.5,5720.25,6737.333333,6951,6872.714286,830.868599,887.3759068,726.6021117,901.859594,1000.28073,1193.520715,1246.756774,1148.742897,1151.140472,885.3080443,1053.37617,907.3013431,1133.726608,1370.522816,1262.649091,1638.329099,670097193.1,711751911.9,790533055.6,868147897.3,981365089.3,1125350217,1318008716,1315811387,1116393291,1002997085,985868801.1,1032774864,1269565353,1650777791,1845210962,1911458437,138177532.1,159088320.6,146964085.1,182990906,203965085.5,245255016.6,287171861,281982821.7,297930707.1,238128247.5,229855202.2,219883868.2,298877862.3,424671879.7,397929435.1,543040124.1
