character,films1,films2,films3,films4,films5,films6,films7,vehicles1,vehicles2,starships1,starships2,starships3,starships4,starships5
Luke Skywalker,Revenge of the Sith,Return of the Jedi,The Empire Strikes Back,A New Hope,The Force Awakens,NA,NA,Snowspeeder,Imperial Speeder Bike,X-wing,Imperial shuttle,NA,NA,NA
C-3PO,Attack of the Clones,The Phantom Menace,Revenge of the Sith,Return of the Jedi,The Empire Strikes Back,A New Hope,NA,NA,NA,NA,NA,NA,NA,NA
R2-D2,Attack of the Clones,The Phantom Menace,Revenge of the Sith,Return of the Jedi,The Empire Strikes Back,A New Hope,The Force Awakens,NA,NA,NA,NA,NA,NA,NA
Darth Vader,Revenge of the Sith,Return of the Jedi,The Empire Strikes Back,A New Hope,NA,NA,NA,NA,NA,TIE Advanced x1,NA,NA,NA,NA
Leia Organa,Revenge of the Sith,Return of the Jedi,The Empire Strikes Back,A New Hope,The Force Awakens,NA,NA,Imperial Speeder Bike,NA,NA,NA,NA,NA,NA
Owen Lars,Attack of the Clones,Revenge of the Sith,A New Hope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beru Whitesun lars,Attack of the Clones,Revenge of the Sith,A New Hope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R5-D4,A New Hope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biggs Darklighter,A New Hope,NA,NA,NA,NA,NA,NA,NA,NA,X-wing,NA,NA,NA,NA
Obi-Wan Kenobi,Attack of the Clones,The Phantom Menace,Revenge of the Sith,Return of the Jedi,The Empire Strikes Back,A New Hope,NA,Tribubble bongo,NA,Jedi starfighter,Trade Federation cruiser,Naboo star skiff,Jedi Interceptor,Belbullab-22 starfighter
Anakin Skywalker,Attack of the Clones,The Phantom Menace,Revenge of the Sith,NA,NA,NA,NA,Zephyr-G swoop bike,XJ-6 airspeeder,Trade Federation cruiser,Jedi Interceptor,Naboo fighter,NA,NA
Wilhuff Tarkin,Revenge of the Sith,A New Hope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chewbacca,Revenge of the Sith,Return of the Jedi,The Empire Strikes Back,A New Hope,The Force Awakens,NA,NA,AT-ST,NA,Millennium Falcon,Imperial shuttle,NA,NA,NA
Han Solo,Return of the Jedi,The Empire Strikes Back,A New Hope,The Force Awakens,NA,NA,NA,NA,NA,Millennium Falcon,Imperial shuttle,NA,NA,NA
Greedo,A New Hope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jabba Desilijic Tiure,The Phantom Menace,Return of the Jedi,A New Hope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wedge Antilles,Return of the Jedi,The Empire Strikes Back,A New Hope,NA,NA,NA,NA,Snowspeeder,NA,X-wing,NA,NA,NA,NA
Jek Tono Porkins,A New Hope,NA,NA,NA,NA,NA,NA,NA,NA,X-wing,NA,NA,NA,NA
Yoda,Attack of the Clones,The Phantom Menace,Revenge of the Sith,Return of the Jedi,The Empire Strikes Back,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palpatine,Attack of the Clones,The Phantom Menace,Revenge of the Sith,Return of the Jedi,The Empire Strikes Back,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boba Fett,Attack of the Clones,Return of the Jedi,The Empire Strikes Back,NA,NA,NA,NA,NA,NA,Slave 1,NA,NA,NA,NA
IG-88,The Empire Strikes Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bossk,The Empire Strikes Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lando Calrissian,Return of the Jedi,The Empire Strikes Back,NA,NA,NA,NA,NA,NA,NA,Millennium Falcon,NA,NA,NA,NA
Lobot,The Empire Strikes Back,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ackbar,Return of the Jedi,The Force Awakens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mon Mothma,Return of the Jedi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arvel Crynyd,Return of the Jedi,NA,NA,NA,NA,NA,NA,NA,NA,A-wing,NA,NA,NA,NA
Wicket Systri Warrick,Return of the Jedi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nien Nunb,Return of the Jedi,NA,NA,NA,NA,NA,NA,NA,NA,Millennium Falcon,NA,NA,NA,NA
Qui-Gon Jinn,The Phantom Menace,NA,NA,NA,NA,NA,NA,Tribubble bongo,NA,NA,NA,NA,NA,NA
Nute Gunray,Attack of the Clones,The Phantom Menace,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finis Valorum,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jar Jar Binks,Attack of the Clones,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Roos Tarpals,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rugor Nass,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ric Olié,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,Naboo Royal Starship,NA,NA,NA,NA
Watto,Attack of the Clones,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sebulba,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quarsh Panaka,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shmi Skywalker,Attack of the Clones,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Darth Maul,The Phantom Menace,NA,NA,NA,NA,NA,NA,Sith speeder,NA,Scimitar,NA,NA,NA,NA
Bib Fortuna,Return of the Jedi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ayla Secura,Attack of the Clones,The Phantom Menace,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dud Bolt,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gasgano,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ben Quadinaros,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mace Windu,Attack of the Clones,The Phantom Menace,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ki-Adi-Mundi,Attack of the Clones,The Phantom Menace,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kit Fisto,Attack of the Clones,The Phantom Menace,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eeth Koth,The Phantom Menace,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adi Gallia,The Phantom Menace,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saesee Tiin,The Phantom Menace,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yarael Poof,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plo Koon,Attack of the Clones,The Phantom Menace,Revenge of the Sith,NA,NA,NA,NA,NA,NA,Jedi starfighter,NA,NA,NA,NA
Mas Amedda,Attack of the Clones,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gregar Typho,Attack of the Clones,NA,NA,NA,NA,NA,NA,NA,NA,Naboo fighter,NA,NA,NA,NA
Cordé,Attack of the Clones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cliegg Lars,Attack of the Clones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poggle the Lesser,Attack of the Clones,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luminara Unduli,Attack of the Clones,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barriss Offee,Attack of the Clones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dormé,Attack of the Clones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dooku,Attack of the Clones,Revenge of the Sith,NA,NA,NA,NA,NA,Flitknot speeder,NA,NA,NA,NA,NA,NA
Bail Prestor Organa,Attack of the Clones,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jango Fett,Attack of the Clones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zam Wesell,Attack of the Clones,NA,NA,NA,NA,NA,NA,Koro-2 Exodrive airspeeder,NA,NA,NA,NA,NA,NA
Dexter Jettster,Attack of the Clones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lama Su,Attack of the Clones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taun We,Attack of the Clones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jocasta Nu,Attack of the Clones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ratts Tyerell,The Phantom Menace,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R4-P17,Attack of the Clones,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wat Tambor,Attack of the Clones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Hill,Attack of the Clones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shaak Ti,Attack of the Clones,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grievous,Revenge of the Sith,NA,NA,NA,NA,NA,NA,Tsmeu-6 personal wheel bike,NA,Belbullab-22 starfighter,NA,NA,NA,NA
Tarfful,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Raymus Antilles,Revenge of the Sith,A New Hope,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sly Moore,Attack of the Clones,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tion Medon,Revenge of the Sith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finn,The Force Awakens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rey,The Force Awakens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poe Dameron,The Force Awakens,NA,NA,NA,NA,NA,NA,NA,NA,T-70 X-wing fighter,NA,NA,NA,NA
BB8,The Force Awakens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Captain Phasma,The Force Awakens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Padmé Amidala,Attack of the Clones,The Phantom Menace,Revenge of the Sith,NA,NA,NA,NA,NA,NA,H-type Nubian yacht,Naboo star skiff,Naboo fighter,NA,NA